Source_Id,Target_Id,Type,Weight
32610,33571,Directed,4
26480,33594,Directed,4
41013,33594,Directed,4
36719,33600,Directed,4
15532,33628,Directed,4
42531,33702,Directed,4
19191,33807,Directed,4
32611,33840,Directed,4
1355,33899,Directed,4
26912,33913,Directed,4
8954,33923,Directed,4
39088,33937,Directed,4
40032,33941,Directed,4
32871,33949,Directed,4
15164,33985,Directed,4
32610,34012,Directed,4
32610,34013,Directed,4
43259,34029,Directed,4
43415,34029,Directed,4
25733,34057,Directed,4
14576,34069,Directed,4
41610,34099,Directed,4
14123,34257,Directed,4
42760,34339,Directed,4
14576,34423,Directed,4
39088,34467,Directed,4
40641,34485,Directed,4
42148,34557,Directed,4
32610,34642,Directed,4
34650,34649,Directed,4
23758,34667,Directed,4
32871,34677,Directed,4
9344,34707,Directed,4
20845,34798,Directed,4
23758,34949,Directed,4
32611,34965,Directed,4
36719,34978,Directed,4
32610,35064,Directed,4
4374,35169,Directed,4
43415,35186,Directed,4
12201,35197,Directed,4
42037,35529,Directed,4
26480,35608,Directed,4
40032,35674,Directed,4
32610,35683,Directed,4
42517,35752,Directed,4
32610,35790,Directed,4
36719,35822,Directed,4
23758,35859,Directed,4
43191,35883,Directed,4
43289,35921,Directed,4
40517,36140,Directed,4
42845,36182,Directed,4
24754,36330,Directed,4
36719,36335,Directed,4
40622,36462,Directed,4
36525,36525,Directed,4
1686,36536,Directed,4
36719,36704,Directed,4
40032,36761,Directed,4
32611,36897,Directed,4
40629,36921,Directed,4
29805,36939,Directed,4
36719,36976,Directed,4
41227,37099,Directed,4
8954,37104,Directed,4
8954,37304,Directed,4
32871,37396,Directed,4
25177,37406,Directed,4
32610,37462,Directed,4
26912,37585,Directed,4
32610,37615,Directed,4
43164,37668,Directed,4
32610,37863,Directed,4
8954,37992,Directed,4
42517,37993,Directed,4
43259,38218,Directed,4
23758,38279,Directed,4
6303,38495,Directed,4
42517,38496,Directed,4
2297,38565,Directed,4
26480,38569,Directed,4
39088,38741,Directed,4
6303,38817,Directed,4
25177,38899,Directed,4
42241,39034,Directed,4
8894,39047,Directed,4
24361,39047,Directed,4
40418,39183,Directed,4
26912,39253,Directed,4
26480,39326,Directed,4
41013,39326,Directed,4
23758,39419,Directed,4
40902,39525,Directed,4
42148,39536,Directed,4
23758,39603,Directed,4
42517,39719,Directed,4
1272,39788,Directed,4
36719,40038,Directed,4
9583,40176,Directed,4
32871,40263,Directed,4
12698,40270,Directed,4
32610,40373,Directed,4
42037,40383,Directed,4
24754,40388,Directed,4
40641,40389,Directed,4
39300,40395,Directed,4
42037,40413,Directed,4
1355,40415,Directed,4
32871,40419,Directed,4
18110,40448,Directed,4
23758,40450,Directed,4
23758,40456,Directed,4
3047,40464,Directed,4
36719,40476,Directed,4
36719,40481,Directed,4
32610,40487,Directed,4
32610,40490,Directed,4
14576,40496,Directed,4
32611,40519,Directed,4
42517,40522,Directed,4
42517,40528,Directed,4
42927,40534,Directed,4
43259,40546,Directed,4
42037,40563,Directed,4
32610,40570,Directed,4
32871,40576,Directed,4
42649,40576,Directed,4
15531,40588,Directed,4
23758,40590,Directed,4
32871,40602,Directed,4
42148,40604,Directed,4
32610,40608,Directed,4
32611,40631,Directed,4
3665,40632,Directed,4
25177,40637,Directed,4
40658,40658,Directed,4
33919,40661,Directed,4
26912,40662,Directed,4
33410,40670,Directed,4
32610,40673,Directed,4
8954,40675,Directed,4
28250,40676,Directed,4
40440,40677,Directed,4
33946,40684,Directed,4
13426,40696,Directed,4
41013,40696,Directed,4
32871,40698,Directed,4
39088,40702,Directed,4
36719,40703,Directed,4
32871,40705,Directed,4
39300,40711,Directed,4
23758,40714,Directed,4
36719,40716,Directed,4
32610,40721,Directed,4
40902,40723,Directed,4
42610,40726,Directed,4
42517,40731,Directed,4
42649,40737,Directed,4
36719,40741,Directed,4
6633,40748,Directed,4
41088,40755,Directed,4
43259,40758,Directed,4
4920,40772,Directed,4
32871,40774,Directed,4
8954,40781,Directed,4
43415,40797,Directed,4
40805,40805,Directed,4
24754,40809,Directed,4
15721,40812,Directed,4
17961,40820,Directed,4
32610,40823,Directed,4
24754,40830,Directed,4
32611,40867,Directed,4
32611,40871,Directed,4
32610,40874,Directed,4
6400,40880,Directed,4
8954,40890,Directed,4
17585,40894,Directed,4
40032,40899,Directed,4
42187,40904,Directed,4
25177,40908,Directed,4
32611,40918,Directed,4
36719,40924,Directed,4
42037,40925,Directed,4
1610,40927,Directed,4
32613,40951,Directed,4
40641,40961,Directed,4
42517,40964,Directed,4
17105,40978,Directed,4
8954,40981,Directed,4
42914,40987,Directed,4
23758,40990,Directed,4
40358,40993,Directed,4
36719,41004,Directed,4
41282,41006,Directed,4
35157,41008,Directed,4
41013,41014,Directed,4
42517,41032,Directed,4
41033,41033,Directed,4
22835,41065,Directed,4
32610,41072,Directed,4
6303,41074,Directed,4
42470,41081,Directed,4
